Word,Count
a,16
abandoned,1
about,1
above,1
adventure,2
adventures,1
after,1
again,1
all,1
amazing,1
an,3
and,21
another,1
anymore,1
approached,1
around,2
as,2
at,1
back,1
backpack,1
be,1
before,1
believe,1
birds,1
boy,1
branches,1
brave,1
broken,1
bushes,1
but,3
can,1
care,1
carefully,1
cave,3
ceiling,1
chest,4
cobwebs,1
coins,1
could,1
couldnt,1
courage,2
creak,1
creaked,2
crown,2
curiosity,1
curious,1
dark,1
day,4
decided,2
deeper,1
didnt,2
discovered,1
discoveries,1
door,4
dusty,1
edge,1
end,1
ever,1
excited,1
excitement,1
exploring,1
eyes,1
faintly,1
feet,1
felt,1
finally,1
find,1
fit,1
floorboards,1
flying,1
follow,2
food,1
for,3
forest,2
found,3
from,2
give,1
going,1
gold,1
golden,1
gone,1
growing,1
had,6
hallway,1
happy,1
he,23
heard,1
heart,1
hidden,1
hills,1
him,1
his,5
home,1
hoping,1
hopping,1
house,5
hung,1
in,7
inside,4
into,1
is,1
it,12
journey,2
just,1
keep,1
kept,1
key,7
knew,3
lead,2
leaves,2
led,1
like,1
little,1
lock,1
looked,2
loud,1
love,1
loved,1
luck,1
lying,1
map,4
maybe,1
middle,1
more,1
near,2
new,1
next,2
note,1
of,4
off,1
old,3
on,2
once,1
one,2
open,2
opened,3
opens,1
or,1
out,3
over,1
packed,1
path,1
perfectly,1
picked,1
pile,1
placed,1
pocket,1
pushed,1
quickly,1
raced,1
ran,1
reached,1
read,1
real,2
realized,1
remember,1
remembered,1
reminder,1
reward,1
room,1
rustling,1
rusty,1
same,1
saw,3
scared,1
set,1
shining,1
showed,1
slowly,1
small,2
smiled,1
soft,1
some,1
something,1
spooky,1
squirrels,1
steep,1
stumbled,1
sunlight,1
surprise,1
than,1
that,7
the,40
thick,1
this,1
thought,1
timmy,15
timmys,3
to,11
took,2
tough,1
treasure,3
tried,1
turned,1
under,2
up,2
upon,1
used,1
vines,1
walked,1
walking,1
wandering,1
was,8
water,1
went,1
what,1
while,2
who,1
widened,1
windows,1
with,6
wondered,1
wooden,1
woods,2
would,1
your,2
